Bundesland;Name der Institution;Ort;Einrichtungsart;Trägerschaft Hochschulkompass;OA-Webseite der Institution;OA-Webseite der Institution URL;OA-Beauftragte*r;OA-Beauftragte*r Name;OA-Beauftragte*r URL;OA-Beauftragte*r Quelle URL;Ansprechperson für OA;Ansprechperson für OA URL;(Funktions-)Emailadresse;OA Policy;OA Policy Datum2;OA Policy URL;OA-Strategie;OA-Strategie Datum;OA-Strategie URL;OS Policy;OS Policy Datum;OS Policy URL;Zs. Publikationsfonds;Zs. Publikationsfonds URL;Mono. Publikationsfonds;Mono. Publikationsfonds URL;Repositorium;Repositorium URL;Repositorium andere URL;OA-Verlag;OA-Verlag URL;OJS-Standort;OJS-Standort URL;OA-/OS-Preis;OA-/OS-Preis Kategorie;OA-/OS-Preis URL;Berliner Erklärung;Datum Unterzeichnung Berliner Erklärung;OA2020 Expression of Interest;DORA Institution;Jussieu- Appell;Bearbeiter*in;aktualisiert am;Name (Website Ministerium);Affiliation ROR;ROR ID;GRID ID;Wikidata ID;URL Webseite Institution
Baden-Württemberg;Katholische Hochschule Freiburg;Freiburg;Hochschule;kirchlich, staatlich anerkannt;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;andere;NA;https://kidoks.bsz-bw.de/home;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Katholische Hochschule Freiburg;NA;https://ror.org/00vd2h880;grid.465922.e;Q1736342;https://www.kh-freiburg.de/de
Baden-Württemberg;Hochschule für Kirchenmusik der Evangelischen Landeskirche in Württemberg;Tübingen;Hochschule;kirchlich, staatlich anerkannt;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Hochschule für Kirchenmusik der Evangelischen Landeskirche in Württemberg;NA;NA;NA;NA;https://www.kirchenmusikhochschule.de
Baden-Württemberg;Theologische Hochschule Reutlingen;Reutlingen;Hochschule;kirchlich, staatlich anerkannt;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;NA;NA;NA;NA;Q2418970;https://www.th-reutlingen.de/
Baden-Württemberg;Hochschule für Musik und Darstellende Kunst Mannheim;Mannheim;Hochschule;öffentlich-rechtlich;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Staatliche Hochschule für Musik und Darstellende Kunst Mannheim;NA;https://ror.org/01w09y597;grid.465983.5;Q1413500;https://www.muho-mannheim.de
Baden-Württemberg;Staatliche Hochschule für Musik Trossingen;Trossingen;Hochschule;öffentlich-rechtlich;nein;NA;nein;NA;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;02.06.2022;Staatliche Hochschule für Musik Trossingen;NA;https://ror.org/02832sw36;grid.466209.f;Q1622206;https://www.mh-trossingen.de
Brandenburg;Leibniz-Zentrum für Zeithistorische Forschung Potsdam e.V. (ZZF);Potsdam;Forschungsorganisation: Leibniz-Gemeinschaft;NA;ja;https://zzf-potsdam.de/de/publikationen/open-access;nein;NA;NA;NA;ja;https://zzf-potsdam.de/de/publikationen/open-access;stopka[at]zzf-potsdam[?dot]de;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;ja;https://zeitgeschichte-digital.de/doks/home;https://search.zeitgeschichte-digital.de/;nein;NA;nein;NA;nein;NA;NA;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2022-01-25T23:00:00Z;Leibniz-Zentrum für Zeithistorische Forschung Potsdam e.V. (ZZF);Centre for Contemporary History;https://ror.org/005xmsp39;grid.461836.e;Q191269;https://www.zzf-potsdam.de/
Bremen;Leibniz-Institut für Werkstofforientierte Technologien IWT;Bremen;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-12-01T23:00:00Z;Leibniz-Institut für Werkstofforientierte Technologien IWT;Leibniz Institute for Materials Engineering;https://ror.org/01xc6bj88;grid.425971.c;Q1665037;https://www.iwt-bremen.de/
Bremen;Leibniz-Institut für Präventionsforschung und Epidemiologie - BIPS GmbH;Bremen;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/ansprechpartnerinnen-und-ansprechpartner.html;o[?dot]siegert[at]zbw[?dot]eu;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-12-01T23:00:00Z;Leibniz-Institut für Präventionsforschung und Epidemiologie - BIPS GmbH;Leibniz Institute for Prevention Research and Epidemiology - BIPS;https://ror.org/02c22vc57;grid.418465.a;Q30281736;https://www.bips-institut.de/home.html
Bremen;Deutsches Schifffahrtsmuseum (DSM);Bremerhaven;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/ansprechpartnerinnen-und-ansprechpartner.html;o[?dot]siegert[at]zbw[?dot]eu;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-12-01T23:00:00Z;Deutsches Schifffahrtsmuseum (DSM);Deutsches Schiffahrtsmuseum;https://ror.org/02hdxnq28;grid.469815.7;Q455354;https://www.dsm.museum/
Bremen;Leibniz-Zentrum für Marine Tropenforschung (ZMT);Bremen;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;ja;https://amb.mpimet.mpg.de/bibliotheken/zmt;christina[?dot]schrader[at]leibniz-zmt[?dot]de;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;ja;41984;https://www.leibniz-zmt.de/images/content/pdf/MEDIA_Unit/ZMT_Open_Acess_Policy_DEU.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-12-01T23:00:00Z;Leibniz-Zentrum für Marine Tropenforschung (ZMT);Leibniz Center for Tropical Marine Ecology;https://ror.org/019w00969;grid.461729.f;Q1413854;https://www.leibniz-zmt.de/
Berlin;Leibniz-Forschungsinstitut für Molekulare Pharmakologie (FMP);Berlin;Forschungsorganisation: Leibniz-Gemeinschaft;NA;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access.html;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-11-05T23:00:00Z;Leibniz-Forschungsinstitut für Molekulare Pharmakologie (FMP);Leibniz-Forschungsinstitut für Molekulare Pharmakologie;https://ror.org/010s54n03;grid.418832.4;Q1813742;https://www.leibniz-fmp.de/
Baden-Württemberg;GESIS - Leibniz-Institut für Sozialwissenschaften;Mannheim;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;ja;https://www.gesis.org/institut/mitarbeiterverzeichnis/person/agathe.gebert;agathe[?dot]gebert[at]gesis[?dot]org;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;ja;NA;https://www.gesis.org/angebot/wissen-vermitteln/publikationen/open-access-policy;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;https://www.gesis.org/ssoar/home;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-07-15T22:00:00Z;GESIS - Leibniz-Institut für Sozialwissenschaften;Leibniz Institute for the Social Sciences;https://ror.org/018afyw53;grid.425053.5;Q1485220;https://www.gesis.org
Baden-Württemberg;Mathematisches Forschungsinstitut Oberwolfach gGmbH (MFO);Oberwolfach;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-07-15T22:00:00Z;Mathematisches Forschungsinstitut Oberwolfach gGmbH (MFO);Mathematical Research Institute of Oberwolfach;https://ror.org/001zbj766;grid.429497.5;Q656142;https://www.mfo.de/
Baden-Württemberg;Leibniz-Institut für Sonnenphysik (KIS);Freiburg;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-07-15T22:00:00Z;Leibniz-Institut für Sonnenphysik (KIS);Kiepenheuer Institut für Sonnenphysik;https://ror.org/006g31f33;grid.438117.8;Q835416;https://www.leibniz-kis.de/
Baden-Württemberg;Leibniz-Institut für Deutsche Sprache (IDS);Mannheim;Forschungsorganisation: Leibniz-Gemeinschaft;NA;ja;https://www1.ids-mannheim.de/bibliothek/open-access-am-ids.html;ja;Monika Pohlschmidt;https://www1.ids-mannheim.de/bibliothek/open-access-am-ids.html;NA;ja;https://www.ids-mannheim.de/bibliothek/open-access-am-ids/;pohlschmidt[at]ids-mannheim[?dot]de;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;https://www1.ids-mannheim.de/bibliothek/open-access-am-ids/leitlinie.html;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;http://ids-pub.bsz-bw.de/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-07-15T22:00:00Z;Leibniz-Institut für Deutsche Sprache (IDS);Leibniz Institute for the German Language;https://ror.org/00hvwkt50;grid.443960.c;Q1664834;https://www.ids-mannheim.de
Baden-Württemberg;FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur GmbH (FIZ KA);Eggenstein-Leopoldshafen;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;ja;http://www.leibnizopen.de/home/;;nein;NA;Electronic Library of Mathematics (eLibM);https://www.elibm-services.org/display/ED/Publizieren;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-07-15T22:00:00Z;FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur GmbH (FIZ KA);FIZ Karlsruhe – Leibniz Institute for Information Infrastructure;https://ror.org/0387prb75;grid.434104.6;Q1388737;https://www.fiz-karlsruhe.de/
Baden-Württemberg;Leibniz-Institut für Wissensmedien (IWM);Tübingen;Forschungsorganisation: Leibniz-Gemeinschaft;NA;ja;https://www.iwm-tuebingen.de/www/de/forschung/openscience/index.html;nein;NA;NA;NA;ja;https://www.iwm-tuebingen.de/www/de/forschung/openscience/index.html;n[?dot]umbach[at]iwm-tuebingen[?dot]de;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;https://www.iwm-tuebingen.de/www/de/forschung/openscience/index.html;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;ja;https://www.psycharchives.org/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-07-15T22:00:00Z;Leibniz-Institut für Wissensmedien (IWM);Leibniz-Institut für Wissensmedien;https://ror.org/03hv28176;grid.418956.7;Q1813768;https://www.iwm-tuebingen.de
Baden-Württemberg;Leibniz-Zentrum für Europäische Wirtschaftsforschung GmbH (ZEW);Mannheim;Forschungsorganisation: Leibniz-Gemeinschaft;NA;ja;https://www.zew.de/das-zew/ueber-das-zew;nein;NA;NA;NA;ja;https://www.zew.de/das-zew/ueber-das-zew/open-access;holger[?dot]stichnoth[at]zew[?dot]de;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;ja;NA;https://www.zew.de/das-zew/ueber-das-zew/open-access;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-07-15T22:00:00Z;Leibniz-Zentrum für Europäische Wirtschaftsforschung GmbH (ZEW);Centre for European Economic Research;https://ror.org/02qnsw591;grid.13414.33;Q191206;https://www.zew.de/
Rheinland-Pfalz;Leibniz-Institut für Resilienzforschung (LIR);Mainz;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;nein;;ja;http://www.leibnizopen.de/home/index.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-07-04T22:00:00Z;Leibniz-Institut für Resilienzforschung (LIR);Leibniz Institute for Resilience Research;https://ror.org/00q5t0010;grid.509458.5;Q84938768;https://www.lir-mainz.de/
Thüringen;Leibniz-Institut für Photonische Technologien (IPHT);Jena;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-06-28T22:00:00Z;Leibniz-Institut für Photonische Technologien (IPHT);Leibniz Institute of Photonic Technology;https://ror.org/02se0t636;grid.418907.3;Q1664946;https://www.leibniz-ipht.de/
Thüringen;Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut (FLI);Jena;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-06-28T22:00:00Z;Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut (FLI);Leibniz Institute on Aging – Fritz Lipmann Institute;https://ror.org/039a53269;grid.418245.e;Q1743407;https://www.leibniz-fli.de
Thüringen;Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. Hans-Knöll-Institut;Jena;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;ja;http://www.leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als WGL;2003-10-22T00:00:00Z;ja, als WGL;nein;nein;AW, SK;2021-06-28T22:00:00Z;Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. Hans-Knöll-Institut;Hans Knöll Institute;https://ror.org/055s37c97;grid.418398.f;Q30281702;https://www.leibniz-hki.de
Berlin;Leibniz-Verbund Biodiversität;Berlin;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;NA;NA;Recherche fehlt;Recherche fehlt;nein;NA;NA;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;NA;NA;NA;NA;NA;https://www.leibniz-gemeinschaft.de/forschung/leibniz-forschungsverbuende/biodiversitaet.html
Nordrhein-Westfalen;Zoologisches Forschungsmuseum Alexander Koenig;Bonn;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;https://leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Zoologisches Forschungsmuseum Alexander Koenig;Zoological Research Museum Alexander Koenig;https://ror.org/00wz4b049;grid.452935.c;NA;https://www.zfmk.de/de
Nordrhein-Westfalen;Leibniz-Institut für umweltmedizinische Forschung (IUF);Düsseldorf;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;https://leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Leibniz-Institut für umweltmedizinische Forschung (IUF);Leibniz Institute of Environmental Medicine;https://ror.org/0163xqp73;grid.435557.5;Q30290119;https://www.iuf-duesseldorf.de/
Nordrhein-Westfalen;DWI - Leibniz-Institut für Interaktive Materialien e.V.;Aachen;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;https://leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;DWI - Leibniz-Institut für Interaktive Materialien e.V.;DWI – Leibniz Institute for Interactive Materials;https://ror.org/0186h8060;grid.452391.8;Q19962204;https://www.dwi.rwth-aachen.de/
Nordrhein-Westfalen;Leibniz-Institut für Analytische Wissenschaften -ISAS- e.V.;Dortmund;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;https://leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Leibniz-Institut für Analytische Wissenschaften -ISAS- e.V.;Leibniz Institute for Analytical Sciences - ISAS;https://ror.org/02jhqqg57;grid.419243.9;Q1813719;https://www.isas.de
Nordrhein-Westfalen;Deutsches Diabetes-Zentrum (DDZ);Düsseldorf;Forschungsorganisation: Leibniz-Gemeinschaft;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja, als WGL;2016;https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf;nein;NA;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html;ja;https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html;ja;https://leibnizopen.de/home/;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Deutsches Diabetes-Zentrum (DDZ);German Diabetes Center;https://ror.org/04ews3245;grid.429051.b;Q1205596;https://ddz.de/
